DATE,GDP
1986-01-01,4507.894
1986-04-01,4545.34
1986-07-01,4607.669
1986-10-01,4657.627
1987-01-01,4722.156
1987-04-01,4806.16
1987-07-01,4884.555
1987-10-01,5007.994
1988-01-01,5073.372
1988-04-01,5190.036
1988-07-01,5282.835
1988-10-01,5399.509
1989-01-01,5511.253
1989-04-01,5612.463
1989-07-01,5695.365
1989-10-01,5747.237
1990-01-01,5872.701
1990-04-01,5960.028
1990-07-01,6015.116
1990-10-01,6004.733
1991-01-01,6035.178
1991-04-01,6126.862
1991-07-01,6205.937
1991-10-01,6264.54
1992-01-01,6363.102
1992-04-01,6470.763
1992-07-01,6566.641
1992-10-01,6680.803
1993-01-01,6729.459
1993-04-01,6808.939
1993-07-01,6882.098
1993-10-01,7013.738
1994-01-01,7115.652
1994-04-01,7246.931
1994-07-01,7331.075
1994-10-01,7455.288
1995-01-01,7522.289
1995-04-01,7580.997
1995-07-01,7683.125
1995-10-01,7772.586
1996-01-01,7868.468
1996-04-01,8032.84
1996-07-01,8131.408
1996-10-01,8259.771
1997-01-01,8362.655
1997-04-01,8518.825
1997-07-01,8662.823
1997-10-01,8765.907
1998-01-01,8866.48
1998-04-01,8969.699
1998-07-01,9121.097
1998-10-01,9293.991
1999-01-01,9417.264
1999-04-01,9524.152
1999-07-01,9681.856
1999-10-01,9899.378
2000-01-01,10002.857
2000-04-01,10247.679
2000-07-01,10319.825
2000-10-01,10439.025
2001-01-01,10472.879
